Serial No,Quantity,Unit Price (USD),Date Ordered,Hospital Name,State,Equipment,Supplier,Supplier Country
27,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
28,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
29,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
30,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
31,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
32,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
33,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
34,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
35,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
36,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
37,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
38,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
39,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
40,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
41,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
42,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
43,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
44,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
45,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
46,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
47,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
48,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
49,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
50,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
51,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
52,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
53,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
54,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
55,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
56,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
57,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
58,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
59,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
60,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
61,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
62,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
63,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
64,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
65,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
66,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
67,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
68,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
69,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
70,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
71,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
72,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
73,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
74,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
75,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
76,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
77,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
78,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
79,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
80,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
81,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
82,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
83,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
84,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
85,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
86,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
87,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
88,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
89,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
90,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
91,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
92,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
93,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
94,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
95,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
96,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
97,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
98,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
99,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
100,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
101,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
102,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
103,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
104,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
105,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
106,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
107,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
108,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
109,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
110,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
111,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
112,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
113,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
114,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
115,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
116,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
117,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
118,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
119,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
120,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
121,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
122,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
123,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
124,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
125,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
126,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
127,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
128,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
129,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
130,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
131,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
132,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
133,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
134,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
135,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
136,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
137,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
138,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
139,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
140,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
141,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
142,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
143,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
144,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
145,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
146,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
147,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
148,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
149,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
150,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
151,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
152,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
153,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
154,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
155,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
156,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
157,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
158,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
159,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
160,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
161,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
162,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
163,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
164,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
165,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
166,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
167,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
168,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
169,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
170,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
171,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
172,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
173,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
174,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
175,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
176,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
177,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
178,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
179,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
180,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
181,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
182,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
183,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
184,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
185,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
186,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
187,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
188,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
189,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
190,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
191,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
192,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
193,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
194,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
195,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
196,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
197,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
198,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
199,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
200,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
201,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
202,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
203,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
204,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
205,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
206,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
207,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
208,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
209,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
210,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
211,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
212,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
213,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
214,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
215,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
216,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
217,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
218,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
219,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
220,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
221,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
222,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
223,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
224,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
225,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
226,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
227,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
228,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
229,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
230,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
231,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
232,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
233,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
234,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
235,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
236,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
237,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
238,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
239,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
240,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
241,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
242,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
243,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
244,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
245,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
246,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
247,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
248,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
249,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
250,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
251,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
252,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
253,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
254,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
255,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
256,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
257,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
258,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
259,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
260,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
261,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
262,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
263,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
264,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
265,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
266,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
267,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
268,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
269,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
270,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
271,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
272,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
273,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
274,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
275,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
276,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
277,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
278,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
279,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
280,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
281,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
282,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
283,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
284,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
285,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
286,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
287,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
288,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
289,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
290,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
291,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
292,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
293,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
294,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
295,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
296,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
297,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
298,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
299,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
